0,1
1,2
2,0
3,2
4,4
5,4
6,-2
7,-2
8,-4
9,0
10,0
11,0
12,10
13,10
14,10
15,10
16,12
17,12
18,-4
19,-4
20,-4
21,-4
22,-4
23,-4
24,-18
25,-18
26,-18
27,-10
28,-10
29,-10
30,-10
31,-10
32,-12
33,-12
34,-12
35,-12
36,24
37,24
38,24
39,24
40,24
41,24
42,24
43,24
44,24
45,24
46,24
47,24
48,42
49,42
50,42
51,42
52,42
53,42
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,4
65,4
66,4
67,4
68,4
69,4
70,4
71,4
72,-60
73,-60
74,-60
75,-60
76,-60
77,-60
78,-60
79,-60
80,-60
81,-44
82,-44
83,-44
84,-44
85,-44
86,-44
87,-44
88,-44
89,-44
90,-44
91,-44
92,-44
93,-44
94,-44
95,-44
96,-66
97,-66
98,-66
99,-66
100,-66
